len,k,p,num_of_chains,steps,delta_t,time,chain_e2e_avg_distance,msd
50,1000,100,100,500000,5e-05,5e-05,0.5984346254689583,53.72678603729867
50,1000,100,100,500000,5e-05,0.0001,0.5991374760220131,53.67527120701778
50,1000,100,100,500000,5e-05,0.00015000000000000001,0.59883756971083,53.67397305135856
50,1000,100,100,500000,5e-05,0.0002,0.5998811354030112,53.66654945493766
50,1000,100,100,500000,5e-05,0.00025,0.6010739990834367,53.657908946775336
50,1000,100,100,500000,5e-05,0.00030000000000000003,0.6027752104262374,53.66804899324556
50,1000,100,100,500000,5e-05,0.00035,0.6041794382711415,53.657893271049716
50,1000,100,100,500000,5e-05,0.0004,0.6047577963801051,53.6760333292624
50,1000,100,100,500000,5e-05,0.00045000000000000004,0.6072350476085737,53.68226318164725
50,1000,100,100,500000,5e-05,0.0005,0.6088060518279338,53.67152127465506
50,1000,100,100,500000,5e-05,0.00055,0.6112118126632192,53.66350603301283
50,1000,100,100,500000,5e-05,0.0006000000000000001,0.6138532403119343,53.66035265291231
50,1000,100,100,500000,5e-05,0.0006500000000000001,0.616138585444659,53.66786703851894
50,1000,100,100,500000,5e-05,0.0007,0.6185169543293009,53.65735350908461
50,1000,100,100,500000,5e-05,0.00075,0.6216834849654214,53.659400637685906
50,1000,100,100,500000,5e-05,0.0008,0.6246788432390828,53.66268138720335
50,1000,100,100,500000,5e-05,0.0008500000000000001,0.6282225531172342,53.68832510117395
50,1000,100,100,500000,5e-05,0.0009000000000000001,0.6312752633435386,53.70586728227586
50,1000,100,100,500000,5e-05,0.00095,0.6334016910606418,53.71244461456309
50,1000,100,100,500000,5e-05,0.001,0.6369833018903814,53.732378167619714
50,1000,100,100,500000,5e-05,0.0010500000000000002,0.6410149632149256,53.73120042178421
50,1000,100,100,500000,5e-05,0.0011,0.6448447820752009,53.721373583579776
50,1000,100,100,500000,5e-05,0.00115,0.6480808224636616,53.70626572858668
50,1000,100,100,500000,5e-05,0.0012000000000000001,0.6523154912724034,53.680819594428286
50,1000,100,100,500000,5e-05,0.00125,0.657240021026197,53.6854384195173
50,1000,100,100,500000,5e-05,0.0013000000000000002,0.6598488339597166,53.6838982186296
50,1000,100,100,500000,5e-05,0.00135,0.6657232543359917,53.67209628087182
50,1000,100,100,500000,5e-05,0.0014,0.6693870347846498,53.68982121898862
50,1000,100,100,500000,5e-05,0.0014500000000000001,0.6750252081024803,53.68874659452943
50,1000,100,100,500000,5e-05,0.0015,0.6787394970522329,53.686791757843096
50,1000,100,100,500000,5e-05,0.0015500000000000002,0.6837439482708765,53.68435460685041
50,1000,100,100,500000,5e-05,0.0016,0.6885153527319596,53.68491383258508
50,1000,100,100,500000,5e-05,0.00165,0.6921890803576186,53.67093873997979
50,1000,100,100,500000,5e-05,0.0017000000000000001,0.6966437998602897,53.6731312000381
50,1000,100,100,500000,5e-05,0.00175,0.6999825176439665,53.6799703213093
50,1000,100,100,500000,5e-05,0.0018000000000000002,0.7055485756493993,53.68308505811231
50,1000,100,100,500000,5e-05,0.00185,0.71142443487802,53.6755194985969
50,1000,100,100,500000,5e-05,0.0019,0.7171084875618183,53.679800977626336
50,1000,100,100,500000,5e-05,0.0019500000000000001,0.7197528812409972,53.68076618730129
50,1000,100,100,500000,5e-05,0.002,0.7245539849488528,53.66498561190439
50,1000,100,100,500000,5e-05,0.00205,0.7296849767764855,53.678664093610585
50,1000,100,100,500000,5e-05,0.0021000000000000003,0.7359727716429955,53.67587019612525
50,1000,100,100,500000,5e-05,0.00215,0.740389952445893,53.683327488074276
50,1000,100,100,500000,5e-05,0.0022,0.7456118842098739,53.684589940929165
50,1000,100,100,500000,5e-05,0.0022500000000000003,0.7505950892955819,53.69011364761141
50,1000,100,100,500000,5e-05,0.0023,0.7563484731878891,53.694056296614555
50,1000,100,100,500000,5e-05,0.00235,0.7608739856466329,53.6794108648298
50,1000,100,100,500000,5e-05,0.0024000000000000002,0.767250882883362,53.674841418809194
50,1000,100,100,500000,5e-05,0.00245,0.7732308790314445,53.68401190018453
50,1000,100,100,500000,5e-05,0.0025,0.7796697858235623,53.69966671210996
50,1000,100,100,500000,5e-05,0.00255,0.784016103253891,53.72265615110386
50,1000,100,100,500000,5e-05,0.0026000000000000003,0.7905837172039062,53.75360974967078
50,1000,100,100,500000,5e-05,0.00265,0.7960962700826875,53.79077073040075
50,1000,100,100,500000,5e-05,0.0027,0.8014018990423785,53.78824027095442
50,1000,100,100,500000,5e-05,0.0027500000000000003,0.8070324427690373,53.81300916863436
50,1000,100,100,500000,5e-05,0.0028,0.8120351154714729,53.831966922838276
50,1000,100,100,500000,5e-05,0.00285,0.8173280639823578,53.82415597686051
50,1000,100,100,500000,5e-05,0.0029000000000000002,0.8245825492105503,53.84031272787126
50,1000,100,100,500000,5e-05,0.00295,0.8296172241921628,53.84784055078219
50,1000,100,100,500000,5e-05,0.003,0.8346354963778357,53.861570740389716
50,1000,100,100,500000,5e-05,0.00305,0.8402330603722689,53.86752401065277
50,1000,100,100,500000,5e-05,0.0031000000000000003,0.847013623281161,53.85621582981603
50,1000,100,100,500000,5e-05,0.00315,0.852691908664834,53.86470413141101
50,1000,100,100,500000,5e-05,0.0032,0.8593632899160091,53.85020667164964
50,1000,100,100,500000,5e-05,0.0032500000000000003,0.865233507497279,53.86116400465789
50,1000,100,100,500000,5e-05,0.0033,0.8718336117792217,53.87701877705606
50,1000,100,100,500000,5e-05,0.00335,0.8789154565566523,53.904551329471076
50,1000,100,100,500000,5e-05,0.0034000000000000002,0.885361739471547,53.903697590995186
50,1000,100,100,500000,5e-05,0.0034500000000000004,0.8916101584150904,53.91478657566398
50,1000,100,100,500000,5e-05,0.0035,0.8987680579825297,53.93240062427398
50,1000,100,100,500000,5e-05,0.00355,0.9056664118272189,53.94131399127446
50,1000,100,100,500000,5e-05,0.0036000000000000003,0.9114046610672379,53.94640789366417
50,1000,100,100,500000,5e-05,0.00365,0.9186363767169119,53.98202898409633
50,1000,100,100,500000,5e-05,0.0037,0.9240505860454971,53.98982522066828
50,1000,100,100,500000,5e-05,0.0037500000000000003,0.9296450412935011,54.00178819495349
50,1000,100,100,500000,5e-05,0.0038,0.9350325114506153,54.00203776749487
50,1000,100,100,500000,5e-05,0.00385,0.9414412676609643,54.00758908500501
50,1000,100,100,500000,5e-05,0.00395,0.9536173666477035,54.034228014978545
50,1000,100,100,500000,5e-05,0.004,0.9599947090468466,54.0407239049244
50,1000,100,100,500000,5e-05,0.00405,0.9675968353162246,54.05214050049394
50,1000,100,100,500000,5e-05,0.0041,0.9734538841556589,54.051548155531016
50,1000,100,100,500000,5e-05,0.00415,0.9805287868953528,54.058776077807764
50,1000,100,100,500000,5e-05,0.004200000000000001,0.9863950449755139,54.081840059857086
50,1000,100,100,500000,5e-05,0.00425,0.9930306567235755,54.076653829687324
50,1000,100,100,500000,5e-05,0.0043,0.9997581496162147,54.08591704074528
50,1000,100,100,500000,5e-05,0.004350000000000001,1.0074909471583235,54.10652520895469
50,1000,100,100,500000,5e-05,0.0044,1.0150737609391216,54.1331114046223
50,1000,100,100,500000,5e-05,0.0045000000000000005,1.0291486699315688,54.13167076293514
50,1000,100,100,500000,5e-05,0.00455,1.035060739128296,54.13608931503098
50,1000,100,100,500000,5e-05,0.0046,1.0408732764278656,54.127685858659646
50,1000,100,100,500000,5e-05,0.0046500000000000005,1.0473111162487436,54.1255394942871
50,1000,100,100,500000,5e-05,0.0047,1.0531703939189814,54.117927538076664
50,1000,100,100,500000,5e-05,0.0048000000000000004,1.0659566312165587,54.17440690757642
50,1000,100,100,500000,5e-05,0.00485,1.0731220272912247,54.169906174002016
50,1000,100,100,500000,5e-05,0.0049,1.0794342561845467,54.163933926269955
50,1000,100,100,500000,5e-05,0.005,1.0925693110209203,54.17663893338668
50,1000,100,100,500000,5e-05,0.005050000000000001,1.0991175967861744,54.19937092747685
50,1000,100,100,500000,5e-05,0.0051,1.105519290891357,54.237978357390915
50,1000,100,100,500000,5e-05,0.005200000000000001,1.118974670357032,54.249596734666596
50,1000,100,100,500000,5e-05,0.00525,1.1242384228341973,54.25915210161388
50,1000,100,100,500000,5e-05,0.0053,1.1318543632783118,54.24992506088308
50,1000,100,100,500000,5e-05,0.0054,1.1448782674204836,54.24506787828279
50,1000,100,100,500000,5e-05,0.00545,1.1530211589730164,54.27264718940875
50,1000,100,100,500000,5e-05,0.00555,1.165135762439754,54.33337282700743
50,1000,100,100,500000,5e-05,0.0056,1.171780707196599,54.327627326625255
50,1000,100,100,500000,5e-05,0.0057,1.1878834503014266,54.40062744253192
50,1000,100,100,500000,5e-05,0.00575,1.1940361964733783,54.42011406771631
50,1000,100,100,500000,5e-05,0.00585,1.2090565364012673,54.45839304018051
50,1000,100,100,500000,5e-05,0.0059,1.2151519185641284,54.42453997364162
50,1000,100,100,500000,5e-05,0.006,1.229284889270579,54.49452341284323
50,1000,100,100,500000,5e-05,0.006050000000000001,1.2360108597984456,54.49129952915797
50,1000,100,100,500000,5e-05,0.00615,1.2508249496535015,54.541669646247094
50,1000,100,100,500000,5e-05,0.00625,1.2665489736477997,54.55561542685031
50,1000,100,100,500000,5e-05,0.0063,1.2729243215051593,54.55927523066306
50,1000,100,100,500000,5e-05,0.0064,1.28476752561376,54.58514114193694
50,1000,100,100,500000,5e-05,0.006500000000000001,1.2986288622297606,54.59988165396855
50,1000,100,100,500000,5e-05,0.00655,1.30527339140029,54.618593527411214
50,1000,100,100,500000,5e-05,0.0066500000000000005,1.3186160501205662,54.635604979121645
50,1000,100,100,500000,5e-05,0.00675,1.3328182530043255,54.65864259918816
50,1000,100,100,500000,5e-05,0.00685,1.345997087939611,54.70296789832343
50,1000,100,100,500000,5e-05,0.006900000000000001,1.3512024546475407,54.697779236378445
50,1000,100,100,500000,5e-05,0.007,1.3637474029730274,54.71891234574894
50,1000,100,100,500000,5e-05,0.0071,1.3758361676602116,54.750768250442896
50,1000,100,100,500000,5e-05,0.007200000000000001,1.390816296421338,54.76410273654292
50,1000,100,100,500000,5e-05,0.0073,1.4037087423969872,54.82474899068
50,1000,100,100,500000,5e-05,0.0074,1.4167121655307993,54.83374147684026
50,1000,100,100,500000,5e-05,0.007500000000000001,1.4296935960714714,54.83072075276592
50,1000,100,100,500000,5e-05,0.0076,1.4431123526822915,54.857059323878644
50,1000,100,100,500000,5e-05,0.0077,1.4580632148690098,54.88003091023152
50,1000,100,100,500000,5e-05,0.0078000000000000005,1.4720817361494691,54.91347026375803
50,1000,100,100,500000,5e-05,0.0079,1.4867039495752516,54.969093717795396
50,1000,100,100,500000,5e-05,0.008,1.498735133297138,54.98238896662046
50,1000,100,100,500000,5e-05,0.0081,1.5130751060621412,55.031176144624915
50,1000,100,100,500000,5e-05,0.0082,1.5239760901576673,55.04065470938375
50,1000,100,100,500000,5e-05,0.0083,1.540157003545523,55.092866123299444
50,1000,100,100,500000,5e-05,0.008450000000000001,1.5574344241279585,55.10421100674385
50,1000,100,100,500000,5e-05,0.00855,1.5696200795479462,55.11565639413509
50,1000,100,100,500000,5e-05,0.00865,1.5832790665210723,55.135000121346955
50,1000,100,100,500000,5e-05,0.00875,1.596734643722853,55.19658086011853
50,1000,100,100,500000,5e-05,0.0089,1.6178766114258436,55.24873005634315
50,1000,100,100,500000,5e-05,0.009000000000000001,1.6308657123139922,55.30962696050795
50,1000,100,100,500000,5e-05,0.00915,1.6495240964913003,55.37226162332033
50,1000,100,100,500000,5e-05,0.009250000000000001,1.6600860980470884,55.377100930328524
50,1000,100,100,500000,5e-05,0.00935,1.6722833530459313,55.42214950523151
50,1000,100,100,500000,5e-05,0.0095,1.6914955623000574,55.483423239295355
50,1000,100,100,500000,5e-05,0.009600000000000001,1.7046653651711945,55.54079437105251
50,1000,100,100,500000,5e-05,0.00975,1.7222934439907094,55.61686230852865
50,1000,100,100,500000,5e-05,0.0099,1.7446182034017093,55.67434753827583
50,1000,100,100,500000,5e-05,0.01,1.7568707746232284,55.69485697300342
50,1000,100,100,500000,5e-05,0.010150000000000001,1.7789246327489538,55.7899182201862
50,1000,100,100,500000,5e-05,0.01025,1.791082746908829,55.791378968198394
50,1000,100,100,500000,5e-05,0.010400000000000001,1.8098490971839145,55.830803560353004
50,1000,100,100,500000,5e-05,0.01055,1.8300776838643182,55.898472650437434
50,1000,100,100,500000,5e-05,0.010700000000000001,1.8490968622622546,55.96275091744568
50,1000,100,100,500000,5e-05,0.01085,1.8695819916507121,56.00653365811079
50,1000,100,100,500000,5e-05,0.01095,1.8836493874275173,56.01997173007331
50,1000,100,100,500000,5e-05,0.0111,1.901948396904154,56.073163121929944
50,1000,100,100,500000,5e-05,0.011250000000000001,1.918132275783977,56.15731949344792
50,1000,100,100,500000,5e-05,0.0114,1.937016379083698,56.22712695432749
50,1000,100,100,500000,5e-05,0.011550000000000001,1.9562619612208914,56.290411740514855
50,1000,100,100,500000,5e-05,0.0117,1.9748102311639728,56.35360151850949
50,1000,100,100,500000,5e-05,0.011850000000000001,1.9926619509607402,56.379510260541025
50,1000,100,100,500000,5e-05,0.01205,2.0184299646931705,56.43386572450336
50,1000,100,100,500000,5e-05,0.0122,2.036701407053178,56.50207310479762
50,1000,100,100,500000,5e-05,0.01235,2.055428748149264,56.530782077108654
50,1000,100,100,500000,5e-05,0.0125,2.0753559686968712,56.605808888821684
50,1000,100,100,500000,5e-05,0.012700000000000001,2.098216403421613,56.68560547282259
50,1000,100,100,500000,5e-05,0.01285,2.1178335899899303,56.763157090532374
50,1000,100,100,500000,5e-05,0.013000000000000001,2.136026370148352,56.834710543569855
50,1000,100,100,500000,5e-05,0.0132,2.160286468445735,56.88685262457849
50,1000,100,100,500000,5e-05,0.01335,2.1801381691705686,56.97212281319473
50,1000,100,100,500000,5e-05,0.013550000000000001,2.2052887984927754,57.076689297715895
50,1000,100,100,500000,5e-05,0.0137,2.2225441502909415,57.080025062670146
50,1000,100,100,500000,5e-05,0.013900000000000001,2.2467422002015183,57.196882009215294
50,1000,100,100,500000,5e-05,0.014100000000000001,2.269059592612775,57.29368033752586
50,1000,100,100,500000,5e-05,0.01425,2.285854523974761,57.363489401349064
50,1000,100,100,500000,5e-05,0.014450000000000001,2.30917606776986,57.37376130130458
50,1000,100,100,500000,5e-05,0.014650000000000002,2.332487454213879,57.45012517206181
50,1000,100,100,500000,5e-05,0.01485,2.3586831883595423,57.544493641462225
50,1000,100,100,500000,5e-05,0.015050000000000001,2.38310325872672,57.645520482647164
50,1000,100,100,500000,5e-05,0.015250000000000001,2.40549765462718,57.760668744308795
50,1000,100,100,500000,5e-05,0.01545,2.427175406322428,57.83048639753668
50,1000,100,100,500000,5e-05,0.01565,2.4502882989355874,57.925686346287556
50,1000,100,100,500000,5e-05,0.01585,2.4707479969432438,58.011168170452756
50,1000,100,100,500000,5e-05,0.016050000000000002,2.4965117071056833,58.12680387944204
50,1000,100,100,500000,5e-05,0.016300000000000002,2.5257972191845313,58.237149816764685
50,1000,100,100,500000,5e-05,0.0165,2.5486839509649837,58.34603402461886
50,1000,100,100,500000,5e-05,0.0167,2.5682699450294164,58.395881959552554
50,1000,100,100,500000,5e-05,0.01695,2.5955979102760747,58.5222925603841
50,1000,100,100,500000,5e-05,0.017150000000000002,2.6200626863193515,58.630028297121406
50,1000,100,100,500000,5e-05,0.017400000000000002,2.6463125385933517,58.76094003760033
50,1000,100,100,500000,5e-05,0.0176,2.6664305232661647,58.86683606369216
50,1000,100,100,500000,5e-05,0.01785,2.694047355499673,58.97328911245978
50,1000,100,100,500000,5e-05,0.0181,2.721003180111602,59.13867845830691
50,1000,100,100,500000,5e-05,0.0183,2.7424246617024743,59.24032797496603
50,1000,100,100,500000,5e-05,0.01855,2.770192278555493,59.333087644081196
50,1000,100,100,500000,5e-05,0.0188,2.7949701274857817,59.403532260109024
50,1000,100,100,500000,5e-05,0.01905,2.821053829138038,59.50610274451147
50,1000,100,100,500000,5e-05,0.0193,2.8432394900548257,59.5907063076327
50,1000,100,100,500000,5e-05,0.01955,2.865020759162898,59.62821671033459
50,1000,100,100,500000,5e-05,0.0198,2.8911666988268894,59.74827298371366
50,1000,100,100,500000,5e-05,0.0201,2.9223788265828854,59.87848159926556
50,1000,100,100,500000,5e-05,0.02035,2.947665146121664,59.978377255476374
50,1000,100,100,500000,5e-05,0.0206,2.975010399490337,60.12187307871895
50,1000,100,100,500000,5e-05,0.020900000000000002,3.007481800398575,60.32635481491032
50,1000,100,100,500000,5e-05,0.021150000000000002,3.030124895179637,60.44748786251022
50,1000,100,100,500000,5e-05,0.02145,3.060506459137445,60.60994952947833
50,1000,100,100,500000,5e-05,0.021750000000000002,3.0925125322392892,60.77850035418845
50,1000,100,100,500000,5e-05,0.022000000000000002,3.118184837727865,60.94872133703314
50,1000,100,100,500000,5e-05,0.0223,3.1502010695171143,61.09144989715509
50,1000,100,100,500000,5e-05,0.022600000000000002,3.180625245957734,61.27206551091546
50,1000,100,100,500000,5e-05,0.0229,3.2068411655094176,61.42332777998811
50,1000,100,100,500000,5e-05,0.023200000000000002,3.236487630871456,61.54034652137531
50,1000,100,100,500000,5e-05,0.0235,3.2630482720367695,61.72603906233109
50,1000,100,100,500000,5e-05,0.0238,3.288263111282119,61.87564712293955
50,1000,100,100,500000,5e-05,0.02415,3.3186632216321805,62.03141028215093
50,1000,100,100,500000,5e-05,0.02445,3.3458991281538353,62.18357162430432
50,1000,100,100,500000,5e-05,0.024800000000000003,3.378638896570116,62.35576186947699
50,1000,100,100,500000,5e-05,0.0251,3.409278440013215,62.52578826094661
50,1000,100,100,500000,5e-05,0.02545,3.4397110012555547,62.683974523737554
50,1000,100,100,500000,5e-05,0.0258,3.4718745149303922,62.88118496805692
50,1000,100,100,500000,5e-05,0.0261,3.4976482442429133,63.01587123301219
50,1000,100,100,500000,5e-05,0.02645,3.5301111632146434,63.193247718108275
50,1000,100,100,500000,5e-05,0.0268,3.560617497965673,63.453121904740264
50,1000,100,100,500000,5e-05,0.02715,3.5904619860004447,63.576311953323426
50,1000,100,100,500000,5e-05,0.02755,3.629573448054841,63.81810318149647
50,1000,100,100,500000,5e-05,0.0279,3.65703802840906,64.011341505582
50,1000,100,100,500000,5e-05,0.02825,3.6873490116936014,64.22134655830975
50,1000,100,100,500000,5e-05,0.028650000000000002,3.7224526064899943,64.48332381325704
50,1000,100,100,500000,5e-05,0.029,3.751614017485988,64.7210493604985
50,1000,100,100,500000,5e-05,0.029400000000000003,3.784295523466661,64.97248263531789
50,1000,100,100,500000,5e-05,0.0298,3.8169029642969576,65.20662702705903
50,1000,100,100,500000,5e-05,0.0302,3.8478525143693303,65.360991381464
50,1000,100,100,500000,5e-05,0.030600000000000002,3.8831601103544773,65.64714059201386
50,1000,100,100,500000,5e-05,0.031,3.9176721624741164,65.89224844566155
50,1000,100,100,500000,5e-05,0.031400000000000004,3.947194321146036,66.02889916128375
50,1000,100,100,500000,5e-05,0.0318,3.974753373162352,66.25258866745563
50,1000,100,100,500000,5e-05,0.03225,4.010604049334295,66.5014581451028
50,1000,100,100,500000,5e-05,0.03265,4.0482516349066735,66.82435105029067
50,1000,100,100,500000,5e-05,0.033100000000000004,4.08166192362188,67.08446468660954
50,1000,100,100,500000,5e-05,0.0335,4.113624979153854,67.34356426474909
50,1000,100,100,500000,5e-05,0.03395,4.146713778873616,67.58046467221385
50,1000,100,100,500000,5e-05,0.0344,4.182337441709288,67.86130028602719
50,1000,100,100,500000,5e-05,0.03485,4.2172742717052145,68.09524481397419
50,1000,100,100,500000,5e-05,0.03535,4.252530213847609,68.3680436628292
50,1000,100,100,500000,5e-05,0.0358,4.289841208211541,68.59593982309987
50,1000,100,100,500000,5e-05,0.036250000000000004,4.32368161859975,68.87526970847895
50,1000,100,100,500000,5e-05,0.036750000000000005,4.365739821301584,69.21007637455986
50,1000,100,100,500000,5e-05,0.03725,4.404364936121899,69.55869089257648
50,1000,100,100,500000,5e-05,0.03775,4.437128217346541,69.78263170022971
50,1000,100,100,500000,5e-05,0.03825,4.4758047160309475,70.11476872956524
