# 20220219
# num_of_chains = 50
# steps = 500000
# delta_t = 0.0001
# k = 1000
# n_array = [10, 20, 50, 100, 150, 200]
# p_array = [0, 2, 5, 10, 20, 50, 100, 200, 500]

len,k,p,num_of_chains,steps,delta_t,time,chain_e2e_avg_distance
10,1000,0,50,500000,0.0001,50.0,0.5350143601876718
20,1000,0,50,500000,0.0001,50.0,0.1690619933060426
50,1000,0,50,500000,0.0001,50.0,1.4319159503190015
100,1000,0,50,500000,0.0001,50.0,1.7456376392519142
150,1000,0,50,500000,0.0001,50.0,3.376016440904553
200,1000,0,50,500000,0.0001,50.0,1.8291805993653711
10,1000,2,50,500000,0.0001,50.0,8.475191876053733
20,1000,2,50,500000,0.0001,50.0,16.794113528510167
50,1000,2,50,500000,0.0001,50.0,22.3946916383731
100,1000,2,50,500000,0.0001,50.0,22.795687451842813
150,1000,2,50,500000,0.0001,50.0,22.396950073732473
200,1000,2,50,500000,0.0001,50.0,23.760369990442708
10,1000,5,50,500000,0.0001,50.0,9.374402769050631
20,1000,5,50,500000,0.0001,50.0,18.845961122021837
50,1000,5,50,500000,0.0001,50.0,41.30180392593098
100,1000,5,50,500000,0.0001,50.0,39.16541871371464
150,1000,5,50,500000,0.0001,50.0,41.49771507529756
200,1000,5,50,500000,0.0001,50.0,41.047209558079025
10,1000,10,50,500000,0.0001,50.0,9.778130997703082
20,1000,10,50,500000,0.0001,50.0,19.50467617155714
50,1000,10,50,500000,0.0001,50.0,48.715138256418825
100,1000,10,50,500000,0.0001,50.0,61.078317247222024
150,1000,10,50,500000,0.0001,50.0,58.643348722708325
200,1000,10,50,500000,0.0001,50.0,60.48020265114477
10,1000,20,50,500000,0.0001,50.0,10.025799921958175
20,1000,20,50,500000,0.0001,50.0,20.10470485026441
50,1000,20,50,500000,0.0001,50.0,50.20215823128479
100,1000,20,50,500000,0.0001,50.0,88.12788372105791
150,1000,20,50,500000,0.0001,50.0,86.18657423321672
200,1000,20,50,500000,0.0001,50.0,88.90127483657845
10,1000,50,50,500000,0.0001,50.0,10.434043886311766
20,1000,50,50,500000,0.0001,50.0,20.865900756049868
50,1000,50,50,500000,0.0001,50.0,52.16915511830913
100,1000,50,50,500000,0.0001,50.0,104.28585415669231
150,1000,50,50,500000,0.0001,50.0,142.39123528637043
200,1000,50,50,500000,0.0001,50.0,141.8130036200603
10,1000,100,50,500000,0.0001,50.0,10.981907248952526
20,1000,100,50,500000,0.0001,50.0,21.930971468597992
50,1000,100,50,500000,0.0001,50.0,54.85118346767516
100,1000,100,50,500000,0.0001,50.0,109.69957793818868
150,1000,100,50,500000,0.0001,50.0,164.4796132119318
200,1000,100,50,500000,0.0001,50.0,204.85508679134975
10,1000,200,50,500000,0.0001,50.0,11.995704801639889
20,1000,200,50,500000,0.0001,50.0,23.971847117296004
50,1000,200,50,500000,0.0001,50.0,59.93579255417311
100,1000,200,50,500000,0.0001,50.0,119.88857867995185
150,1000,200,50,500000,0.0001,50.0,179.79615606711496
200,1000,200,50,500000,0.0001,50.0,239.62870426786125
10,1000,500,50,500000,0.0001,50.0,14.996205228045358
20,1000,500,50,500000,0.0001,50.0,29.995728468281
50,1000,500,50,500000,0.0001,50.0,75.01207653757066
100,1000,500,50,500000,0.0001,50.0,149.94603625709718
150,1000,500,50,500000,0.0001,50.0,224.8762089965863
200,1000,500,50,500000,0.0001,50.0,299.8402440158824
